t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
61213,46669,1,0,2,2,1,0,9,9,1,1,27,13,927,867
55003,46720,1,0,4,0,1,0,10,10,2,2,11,3,1020,950
53695,46776,0,0,4,0,1,0,8,1,1,0,11,5,1037,1008
58474,46794,1,0,3,1,0,0,11,11,3,3,16,12,940,828
58614,46865,1,0,3,1,1,0,11,11,2,2,20,5,964,897
56221,46891,1,0,1,3,1,0,9,9,1,1,20,9,921,939
61805,46910,1,0,4,0,1,0,11,11,3,3,20,7,1019,921
60182,46933,2,0,3,1,0,1,9,9,1,1,17,6,1023,916
60545,47086,1,0,3,2,1,0,10,10,2,2,17,2,1050,995
59993,47185,1,0,2,3,1,0,9,9,1,1,14,9,980,882
57975,47200,0,0,2,2,1,0,8,8,1,1,14,4,1077,995
59597,47273,1,0,3,2,0,0,10,10,2,2,16,6,1015,962
62475,47294,1,0,4,1,1,0,11,11,2,2,20,2,1088,999
57385,47303,1,0,4,0,0,0,9,9,1,1,20,8,951,842
59842,47573,1,0,3,0,1,0,9,9,2,2,24,9,963,874
61607,47596,1,0,2,2,1,0,9,9,1,1,20,10,1029,966
58678,47634,1,0,2,2,1,0,10,10,2,2,21,5,956,930
57325,47685,1,0,2,1,1,0,9,3,2,0,20,8,941,933
60221,47705,1,0,4,0,0,0,9,9,2,2,26,5,985,937
55347,47715,1,0,3,1,0,1,8,3,2,0,14,7,982,951
59815,47728,1,0,1,3,1,0,11,2,2,0,12,4,1042,1017
58745,47759,1,0,4,0,1,0,10,10,2,2,15,6,1028,979
62993,47846,2,0,2,2,0,0,11,11,3,3,19,6,991,942
58697,47851,2,0,3,2,1,0,10,10,2,2,14,5,1000,983
62851,47890,1,0,4,1,1,0,9,1,2,0,20,9,1107,919
57734,47907,1,0,2,3,1,0,9,9,1,1,15,2,1021,1051
59585,48151,1,0,2,2,1,0,11,3,3,0,12,5,1105,999
61144,48153,2,0,3,1,1,0,11,1,3,0,14,5,1093,1033
60295,48166,2,0,2,2,0,1,10,10,2,2,17,4,1010,1001
62259,48266,2,0,4,1,0,0,10,10,2,2,10,1,1133,1034
61714,48319,1,0,4,0,1,0,10,10,2,2,14,6,1108,981
61659,48353,1,0,3,1,0,1,9,9,2,2,14,5,1156,985
